image file name,Powerline
Check   (2466).bmp,NO
Check   (2672).bmp,NO
Check  (2016).bmp,YES
Check   (3178).bmp,NO
Check   (1205).bmp,NO
Check   (2140).bmp,NO
Check   (2108).bmp,NO
Check  (697).bmp,YES
Check  (2206).bmp,YES
Check  (714).bmp,YES
Check  (2377).bmp,YES
Check   (2065).bmp,NO
Check   (1982).bmp,YES
Check   (1652).bmp,NO
Check  (672).bmp,YES
Check  (1265).bmp,YES
Check  (1454).bmp,YES
Check  (1254).bmp,YES
Check  (115).bmp,YES
Check   (2756).bmp,NO
Check   (1683).bmp,NO
Check   (2968).bmp,NO
Check  (1773).bmp,YES
Check  (1623).bmp,YES
Check   (2676).bmp,NO
Check  (2596).bmp,YES
Check   (168).bmp,NO
Check   (953).bmp,NO
Check  (2591).bmp,YES
Check  (2628).bmp,YES
Check  (1796).bmp,YES
Check   (440).bmp,NO
Check   (2894).bmp,NO
Check  (1945).bmp,YES
Check  (1149).bmp,YES
Check  (108).bmp,YES
Check   (3162).bmp,NO
Check  (389).bmp,YES
Check  (1823).bmp,YES
Check  (1134).bmp,YES
Check   (3153).bmp,NO
Check   (65).bmp,NO
Check   (746).bmp,NO
Check   (3017).bmp,NO
Check  (1824).bmp,YES
Check   (2336).bmp,YES
Check  (1225).bmp,YES
Check  (2322).bmp,YES
Check   (2275).bmp,NO
Check   (2535).bmp,NO
Check   (295).bmp,NO
Check  (619).bmp,YES
Check  (676).bmp,YES
Check   (2855).bmp,NO
Check  (1113).bmp,YES
Check   (2774).bmp,NO
Check   (2629).bmp,NO
Check  (128).bmp,YES
Check  (1387).bmp,YES
Check   (1803).bmp,NO
Check   (547).bmp,NO
Check  (2155).bmp,YES
Check  (2179).bmp,YES
Check   (1467).bmp,NO
Check   (423).bmp,NO
Check  (2505).bmp,YES
Check  (2492).bmp,YES
Check   (138).bmp,NO
Check   (2805).bmp,NO
Check  (1054).bmp,YES
Check  (337).bmp,YES
Check   (2058).bmp,NO
Check  (575).bmp,YES
Check  (750).bmp,YES
Check   (1742).bmp,NO
Check  (798).bmp,YES
Check   (903).bmp,YES
Check   (1995).bmp,NO
Check  (1021).bmp,YES
Check  (1367).bmp,YES
Check  (1818).bmp,YES
Check   (841).bmp,NO
Check  (139).bmp,YES
Check   (2037).bmp,NO
Check   (2363).bmp,NO
Check  (2355).bmp,YES
Check  (338).bmp,YES
Check  (821).bmp,YES
Check  (2544).bmp,YES
Check   (1461).bmp,NO
Check  (2554).bmp,NO
Check  (1625).bmp,YES
Check  (800).bmp,YES
Check   (3124).bmp,NO
Check  (861).bmp,YES
Check   (1575).bmp,NO
Check  (825).bmp,YES
Check  (1207).bmp,YES
Check   (781).bmp,NO
Check   (3269).bmp,NO
Check   (3196).bmp,YES
Check  (1464).bmp,YES
Check  (2003).bmp,YES
Check   (1263).bmp,NO
Check   (1051).bmp,NO
Check   (18).bmp,NO
Check   (1647).bmp,YES
Check   (634).bmp,NO
Check   (1073).bmp,NO
Check  (2498).bmp,YES
Check   (831).bmp,NO
Check   (1760).bmp,NO
Check   (447).bmp,NO
Check   (3131).bmp,NO
Check   (2358).bmp,NO
Check   (2253).bmp,NO
Check   (2731).bmp,NO
Check   (217).bmp,NO
Check  (1228).bmp,YES
Check  (42).bmp,YES
Check  (531).bmp,YES
Check   (735).bmp,NO
Check  (59).bmp,YES
Check   (2722).bmp,YES
Check  (2372).bmp,YES
Check   (988).bmp,NO
Check   (777).bmp,NO
Check  (2043).bmp,YES
Check  (1335).bmp,YES
Check   (1582).bmp,NO
Check   (2702).bmp,NO
Check   (37).bmp,NO
Check   (1896).bmp,NO
Check  (2330).bmp,YES
Check   (200).bmp,NO
Check   (2522).bmp,NO
Check   (2198).bmp,NO
Check   (756).bmp,NO
Check   (3403).bmp,NO
Check   (665).bmp,NO
Check   (529).bmp,NO
Check   (2688).bmp,NO
Check  (731).bmp,YES
Check   (2960).bmp,NO
Check   (2554).bmp,NO
Check   (446).bmp,NO
Check  (853).bmp,YES
Check  (1918).bmp,YES
Check   (961).bmp,NO
Check   (496).bmp,NO
Check  (1140).bmp,YES
Check  (1461).bmp,YES
Check  (1771).bmp,YES
Check   (2471).bmp,NO
Check   (2693).bmp,NO
Check   (2453).bmp,NO
Check   (2250).bmp,NO
Check   (2307).bmp,NO
Check  (885).bmp,YES
Check  (1724).bmp,YES
Check   (1795).bmp,NO
Check   (3416).bmp,YES
Check  (579).bmp,YES
Check   (1935).bmp,NO
Check   (2314).bmp,NO
Check   (1863).bmp,NO
Check  (2300).bmp,YES
Check  (2515).bmp,YES
Check   (721).bmp,NO
Check  (1488).bmp,YES
Check  (2332).bmp,YES
Check  (1545).bmp,YES
Check  (243).bmp,YES
Check   (2893).bmp,NO
Check   (1419).bmp,NO
Check   (3098).bmp,NO
Check   (2276).bmp,YES
Check   (1892).bmp,NO
Check   (1663).bmp,NO
Check  (2090).bmp,YES
Check   (2239).bmp,NO
Check   (2695).bmp,NO
Check   (290).bmp,NO
Check   (3386).bmp,NO
Check   (2595).bmp,NO
Check   (3370).bmp,YES
Check   (2195).bmp,YES
Check  (1568).bmp,YES
Check  (1576).bmp,YES
Check   (2136).bmp,NO
Check   (2880).bmp,NO
Check  (1382).bmp,YES
Check  (1194).bmp,YES
Check  (1143).bmp,YES
Check   (1195).bmp,NO
Check   (1465).bmp,NO
Check   (415).bmp,NO
Check  (2376).bmp,YES
Check   (3071).bmp,NO
Check   (2271).bmp,NO
Check   (3434).bmp,NO
Check  (1838).bmp,YES
Check   (2090).bmp,NO
Check   (722).bmp,NO
Check   (3262).bmp,NO
Check   (1927).bmp,NO
Check  (2632).bmp,YES
Check  (882).bmp,YES
Check  (985).bmp,YES
Check   (3023).bmp,NO
Check  (668).bmp,YES
Check   (1781).bmp,NO
Check   (1301).bmp,NO
Check  (1544).bmp,YES
Check   (2163).bmp,NO
Check  (790).bmp,YES
Check  (1351).bmp,YES
Check  (219).bmp,YES
Check   (1844).bmp,NO
Check   (2219).bmp,NO
Check   (2477).bmp,NO
Check   (429).bmp,NO
Check  (1798).bmp,YES
Check  (1016).bmp,YES
Check  (1825).bmp,YES
Check   (95).bmp,NO
Check   (2912).bmp,NO
Check  (1853).bmp,YES
Check  (2590).bmp,YES
Check   (1796).bmp,NO
Check  (193).bmp,YES
Check   (1456).bmp,NO
Check   (2064).bmp,NO
Check  (2493).bmp,NO
Check   (1530).bmp,NO
Check   (75).bmp,NO
Check  (625).bmp,YES
Check   (2800).bmp,NO
Check   (53).bmp,NO
Check   (2784).bmp,NO
Check   (907).bmp,NO
Check   (463).bmp,NO
Check  (1290).bmp,YES
Check  (1954).bmp,YES
Check   (803).bmp,NO
Check  (1723).bmp,YES
Check   (838).bmp,NO
Check   (431).bmp,NO
Check   (3082).bmp,NO
Check  (333).bmp,YES
Check  (1427).bmp,YES
Check  (483).bmp,YES
Check   (2107).bmp,NO
Check  (370).bmp,YES
Check  (1492).bmp,YES
Check  (735).bmp,YES
Check  (2411).bmp,YES
Check   (1797).bmp,NO
Check  (2004).bmp,YES
Check   (1626).bmp,NO
Check   (3101).bmp,NO
Check   (247).bmp,NO
Check   (55).bmp,NO
Check   (3426).bmp,NO
Check   (349).bmp,NO
Check   (1712).bmp,NO
Check  (2273).bmp,YES
Check  (2535).bmp,YES
Check  (1886).bmp,YES
Check  (2302).bmp,YES
Check  (768).bmp,YES
Check  (1900).bmp,YES
Check   (2782).bmp,NO
Check  (721).bmp,YES
Check  (257).bmp,YES
Check   (2376).bmp,NO
Check  (989).bmp,YES
Check  (1497).bmp,YES
Check  (2550).bmp,YES
Check   (353).bmp,NO
Check  (1608).bmp,YES
Check  (105).bmp,YES
Check  (2164).bmp,YES
Check   (604).bmp,NO
Check  (1938).bmp,YES
Check   (3088).bmp,YES
Check  (537).bmp,YES
Check  (469).bmp,YES
Check   (2424).bmp,NO
Check   (3313).bmp,NO
Check   (2887).bmp,NO
Check  (278).bmp,YES
Check   (1829).bmp,NO
Check   (3310).bmp,NO
Check   (3034).bmp,NO
Check   (3216).bmp,NO
Check   (2976).bmp,NO
Check   (3350).bmp,NO
Check   (2075).bmp,NO
Check   (945).bmp,NO
Check  (2466).bmp,NO
Check   (2439).bmp,NO
Check   (3137).bmp,NO
Check  (164).bmp,YES
Check  (2600).bmp,YES
Check  (1680).bmp,YES
Check   (588).bmp,NO
Check   (655).bmp,NO
Check   (3298).bmp,NO
Check   (2104).bmp,NO
Check  (742).bmp,YES
Check   (3142).bmp,NO
Check  (1943).bmp,YES
Check   (1261).bmp,NO
Check   (2713).bmp,NO
Check   (2194).bmp,NO
Check   (3056).bmp,NO
Check   (794).bmp,NO
Check   (3047).bmp,NO
Check  (1598).bmp,YES
Check  (2606).bmp,YES
Check   (205).bmp,NO
Check   (3220).bmp,NO
Check   (1455).bmp,NO
Check   (1226).bmp,NO
Check   (1979).bmp,NO
Check  (1167).bmp,YES
Check   (630).bmp,NO
Check  (760).bmp,YES
Check  (849).bmp,YES
Check  (1923).bmp,YES
Check   (212).bmp,NO
Check  (2136).bmp,YES
Check  (1477).bmp,YES
Check   (2005).bmp,NO
Check  (792).bmp,YES
Check  (179).bmp,YES
Check  (2238).bmp,YES
Check   (1239).bmp,NO
Check  (2484).bmp,YES
Check  (110).bmp,YES
Check   (2920).bmp,NO
Check  (1534).bmp,YES
Check   (2624).bmp,NO
Check  (2621).bmp,YES
Check  (1975).bmp,YES
Check   (3058).bmp,NO
Check   (2562).bmp,NO
Check   (3119).bmp,NO
Check  (1806).bmp,YES
Check   (3180).bmp,NO
Check   (1454).bmp,NO
Check  (241).bmp,YES
Check   (2285).bmp,NO
Check  (291).bmp,YES
Check   (2553).bmp,NO
Check  (202).bmp,YES
Check  (2556).bmp,YES
Check   (846).bmp,NO
Check   (2160).bmp,NO
Check  (2055).bmp,YES
Check  (2413).bmp,YES
Check  (1679).bmp,YES
Check   (1067).bmp,NO
Check  (1146).bmp,YES
Check  (2517).bmp,YES
Check  (2424).bmp,YES
Check  (704).bmp,YES
Check  (1846).bmp,YES
Check  (2265).bmp,YES
Check   (1682).bmp,NO
Check  (281).bmp,YES
Check  (284).bmp,YES
Check   (1801).bmp,NO
Check  (1511).bmp,YES
Check  (2067).bmp,YES
Check   (849).bmp,NO
Check   (31).bmp,NO
